scheme_name,state_ministry,description,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tags,combined_text,scheme_link
Assistance to Scheduled Castes for Fisheries: Boat Net Gujarat,Gujarat,"The scheme aims to assist boat nets, which are provided to Scheduled Caste (SC) fishermen and fish farmers, to increase fish production by rearing fish in reservoirs and providing employment to SC individuals involved in inland fisheries.",Boat Net,Fish Farmer,Fish Farming,Fish Production,Fishermen,,"Boat Net, Fish Farmer, Fish Farming, Fish Production, Fishermen","Assistance to Scheduled Castes for Fisheries: Boat Net Gujarat Gujarat The scheme aims to assist boat nets, which are provided to Scheduled Caste (SC) fishermen and fish farmers, to increase fish production by rearing fish in reservoirs and providing employment to SC individuals involved in inland fisheries. Boat Net, Fish Farmer, Fish Farming, Fish Production, Fishermen",https://www.myscheme.gov.in/schemes/ascfbnguj
Assistance to Scheduled Castes for Fisheries: Fish Collection Cum Patrolling Boat Gujarat,Gujarat,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Scheduled Caste people involved in inland fisheries activities.,Fish Collection Cum Patrolling Boat,Fish Farmer,Fish Farming,Fish Production,Fishermen,,"Fish Collection Cum Patrolling Boat, Fish Farmer, Fish Farming, Fish Production, Fishermen","Assistance to Scheduled Castes for Fisheries: Fish Collection Cum Patrolling Boat Gujarat Gujarat The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Scheduled Caste people involved in inland fisheries activities. Fish Collection Cum Patrolling Boat, Fish Farmer, Fish Farming, Fish Production, Fishermen",https://www.myscheme.gov.in/schemes/ascfpbguj
Assistance to Scheduled Castes for Fisheries: Fish Seed Stocking - Gujarat,Gujarat,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Schedule Caste (SC) people involved in inland fisheries activities.,Fish Farmer,Fish Farming,Fish Production,Fish Seed Stocking,Fishermen,,"Fish Farmer, Fish Farming, Fish Production, Fish Seed Stocking, Fishermen","Assistance to Scheduled Castes for Fisheries: Fish Seed Stocking - Gujarat Gujarat The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Schedule Caste (SC) people involved in inland fisheries activities. Fish Farmer, Fish Farming, Fish Production, Fish Seed Stocking, Fishermen",https://www.myscheme.gov.in/schemes/ascffsguj
Assistance to Scheduled Castes for Fisheries: Fish seed rearing - Gujarat,Gujarat,The scheme aims to increase fish production by rearing fish in reservoirs and providing employment to Scheduled Caste (SC) people involved in inland fisheries activities.,Fish Farmer,Fish Farming,Fish Production,Fish Seed Rearing,Fishermen,,"Fish Farmer, Fish Farming, Fish Production, Fish Seed Rearing, Fishermen","Assistance to Scheduled Castes for Fisheries: Fish seed rearing - Gujarat Gujarat The scheme aims to increase fish production by rearing fish in reservoirs and providing employment to Scheduled Caste (SC) people involved in inland fisheries activities. Fish Farmer, Fish Farming, Fish Production, Fish Seed Rearing, Fishermen",https://www.myscheme.gov.in/schemes/ascfsrguj
Assistance to Scheduled Castes for Fisheries: Prawn Seed Stocking Gujarat,Gujarat,The scheme aims to increase fish production by rearing fish in reservoirs and to provide employment to Scheduled Caste (SC) individuals involved in inland fisheries activities.,Fish Farmer,Fish Farming,Fish Production,Fishermen,Prawn Seed Stocking,,"Fish Farmer, Fish Farming, Fish Production, Fishermen, Prawn Seed Stocking","Assistance to Scheduled Castes for Fisheries: Prawn Seed Stocking Gujarat Gujarat The scheme aims to increase fish production by rearing fish in reservoirs and to provide employment to Scheduled Caste (SC) individuals involved in inland fisheries activities. Fish Farmer, Fish Farming, Fish Production, Fishermen, Prawn Seed Stocking",https://www.myscheme.gov.in/schemes/ascfpssguj
Assistance to Scheduled Castes for Fisheries: Scheme For Fish Sale Equipment - Gujarat,Gujarat,"The scheme aims to increase fish production and provide employment to Scheduled Caste (SC) individuals engaged in inland fisheries. Through this scheme, financial assistance is provided for purchasing fish sale equipment to SC fish farmers and fishermen.",Fish Farmer,Fish Farming,Fish Production,Fish Sale Equipments,Fishermen,,"Fish Farmer, Fish Farming, Fish Production, Fish Sale Equipments, Fishermen","Assistance to Scheduled Castes for Fisheries: Scheme For Fish Sale Equipment - Gujarat Gujarat The scheme aims to increase fish production and provide employment to Scheduled Caste (SC) individuals engaged in inland fisheries. Through this scheme, financial assistance is provided for purchasing fish sale equipment to SC fish farmers and fishermen. Fish Farmer, Fish Farming, Fish Production, Fish Sale Equipments, Fishermen",https://www.myscheme.gov.in/schemes/ascfseguj
Assistance to Scheduled Castes for Fisheries: Training of Scheduled Caste trainees Gujarat,Gujarat,The scheme aims to increase fish production and provide employment opportunities to Scheduled Caste (SC) people engaged in inland fisheries activities.,Fish Farmer,Fish Farming,Fish Production,Fishermen,Training Of Scheduled Caste Trainees,,"Fish Farmer, Fish Farming, Fish Production, Fishermen, Training Of Scheduled Caste Trainees","Assistance to Scheduled Castes for Fisheries: Training of Scheduled Caste trainees Gujarat Gujarat The scheme aims to increase fish production and provide employment opportunities to Scheduled Caste (SC) people engaged in inland fisheries activities. Fish Farmer, Fish Farming, Fish Production, Fishermen, Training Of Scheduled Caste Trainees",https://www.myscheme.gov.in/schemes/ascftsctguj
Atma Nirbhar Bagwani Yojana,Arunachal Pradesh,The schemes are part of the Atma Nirbhar program announced during the Budget session held in February this year. A total amount of Rs 120 crores – Rs 60 crores for each scheme has been allocated to the two concerned departments of Agriculture and Horticulture.,Farmers,Subsidy,Umbrella Scheme,,,,"Farmers, Subsidy, Umbrella Scheme","Atma Nirbhar Bagwani Yojana Arunachal Pradesh The schemes are part of the Atma Nirbhar program announced during the Budget session held in February this year. A total amount of Rs 120 crores – Rs 60 crores for each scheme has been allocated to the two concerned departments of Agriculture and Horticulture. Farmers, Subsidy, Umbrella Scheme",https://www.myscheme.gov.in/schemes/anby
Atma Nirbhar Krishi Yojana,Arunachal Pradesh,Atma Nirbhar Krishi Yojana (ANKY) is a scheme launched by the Arunachal Pradesh government to boost the agriculture sector. It provides financial assistance to farmers for various agricultural activities,Empowerment,Farmers,Sustainability,,,,"Empowerment, Farmers, Sustainability","Atma Nirbhar Krishi Yojana Arunachal Pradesh Atma Nirbhar Krishi Yojana (ANKY) is a scheme launched by the Arunachal Pradesh government to boost the agriculture sector. It provides financial assistance to farmers for various agricultural activities Empowerment, Farmers, Sustainability",https://www.myscheme.gov.in/schemes/anky
Atma Nirbhar Matsya Palan Yojana,Arunachal Pradesh,"The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture.",Farmers,FPO,Loan,Scheduled Tribe,Self Help Groups,Subsidy,"Farmers, FPO, Loan, Scheduled Tribe, Self Help Groups, Subsidy","Atma Nirbhar Matsya Palan Yojana Arunachal Pradesh The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture. Farmers, FPO, Loan, Scheduled Tribe, Self Help Groups, Subsidy",https://www.myscheme.gov.in/schemes/anmpy
Atma Nirbhar Pashu Palan Yojana,Arunachal Pradesh,"The scheme aims to enhance rural livelihoods, promote sustainable animal husbandry practices, & contribute to self-reliance in livestock sector. Under this scheme, financial assistance is provided to unemployed individuals, SHGs, cooperative societies, etc. for livestock rearing & allied activities.",Animal Husbandry,Farmer,FPO,Livestock Rearing,SHGs,Subsidy,"Animal Husbandry, Farmer, FPO, Livestock Rearing, SHGs, Subsidy","Atma Nirbhar Pashu Palan Yojana Arunachal Pradesh The scheme aims to enhance rural livelihoods, promote sustainable animal husbandry practices, & contribute to self-reliance in livestock sector. Under this scheme, financial assistance is provided to unemployed individuals, SHGs, cooperative societies, etc. for livestock rearing & allied activities. Animal Husbandry, Farmer, FPO, Livestock Rearing, SHGs, Subsidy",https://www.myscheme.gov.in/schemes/anppy
Atma Nirbhar Plantation Yojana,Arunachal Pradesh,"The scheme aims to promote self-reliance in the agriculture sector through sustainable plantation activities across the state. Under this scheme, support in the form of plantation assistance and allied resources is provided to individual farmers, Self-Help Groups & Farmer Producer Organizations.",Farmer,FPO,Loan,Plantation,SHGs,Subsidy,"Farmer, FPO, Loan, Plantation, SHGs, Subsidy","Atma Nirbhar Plantation Yojana Arunachal Pradesh The scheme aims to promote self-reliance in the agriculture sector through sustainable plantation activities across the state. Under this scheme, support in the form of plantation assistance and allied resources is provided to individual farmers, Self-Help Groups & Farmer Producer Organizations. Farmer, FPO, Loan, Plantation, SHGs, Subsidy",https://www.myscheme.gov.in/schemes/anpyap
Aushadhi Avam Sugandhit Fasal Shetra Vistar,Madhya Pradesh,"Under the Scheme To increase production and productivity by expanding the area of ​​quality, high-yielding, short-duration medicinal and aromatic species.",Farm,Farmer,Farming,Land,,,"Farm, Farmer, Farming, Land","Aushadhi Avam Sugandhit Fasal Shetra Vistar Madhya Pradesh Under the Scheme To increase production and productivity by expanding the area of ​​quality, high-yielding, short-duration medicinal and aromatic species. Farm, Farmer, Farming, Land",https://www.myscheme.gov.in/schemes/aasfsv
Balram Talab Yojana,Madhya Pradesh,"The scheme aims to conserve rainwater in fields to help farmers, ensuring water availability during irrigation and drought conditions. Farmers receive subsidies up to ₹1,00,000/- for pond construction.",Construction,Farmer,Irrigation,Subsidy,Water,,"Construction, Farmer, Irrigation, Subsidy, Water","Balram Talab Yojana Madhya Pradesh The scheme aims to conserve rainwater in fields to help farmers, ensuring water availability during irrigation and drought conditions. Farmers receive subsidies up to ₹1,00,000/- for pond construction. Construction, Farmer, Irrigation, Subsidy, Water",https://www.myscheme.gov.in/schemes/bty
Basic Agriculture Training Centre Scheme,Meghalaya,The objective of the scheme is to provide short-term vocational training for rural educated unemployed youths in agriculture and allied sectors to develop entrepreneurship skills and employment generation.,Agriculture,Employment,Entrepreneurship Skills,Farmer,Training Centre,Unemployed Youth,"Agriculture, Employment, Entrepreneurship Skills, Farmer, Training Centre, Unemployed Youth","Basic Agriculture Training Centre Scheme Meghalaya The objective of the scheme is to provide short-term vocational training for rural educated unemployed youths in agriculture and allied sectors to develop entrepreneurship skills and employment generation. Agriculture, Employment, Entrepreneurship Skills, Farmer, Training Centre, Unemployed Youth",https://www.myscheme.gov.in/schemes/batcs
Beej Masaale Ki Yojana,Bihar,The scheme aims to encourage the farmers to cultivate identified seed spices such as coriander and fenugreek keeping in mind their medicinal and nutritional properties.,Agriculture,Financial Assistance,Seed Supply,Spice Farming,Spice Seed,Subsidy,"Agriculture, Financial Assistance, Seed Supply, Spice Farming, Spice Seed, Subsidy","Beej Masaale Ki Yojana Bihar The scheme aims to encourage the farmers to cultivate identified seed spices such as coriander and fenugreek keeping in mind their medicinal and nutritional properties. Agriculture, Financial Assistance, Seed Supply, Spice Farming, Spice Seed, Subsidy",https://www.myscheme.gov.in/schemes/bmky
Beej Swalamban Yojna,Rajasthan,Mukhyamantri Beej Swavalamban Yojana was started in the year 2017-18 with the objective of producing quality improved seeds on their farms for their own use by the farmers.,Agriculture,Farmers,Farming Assistance,Seeds,,,"Agriculture, Farmers, Farming Assistance, Seeds","Beej Swalamban Yojna Rajasthan Mukhyamantri Beej Swavalamban Yojana was started in the year 2017-18 with the objective of producing quality improved seeds on their farms for their own use by the farmers. Agriculture, Farmers, Farming Assistance, Seeds",https://www.myscheme.gov.in/schemes/bsyrj
Bhausaheb Fundkar Falbag Lagvad Scheme,Maharashtra,"This scheme includes, Plantation of sixteen perennial horticulture crops. Farmer from Konkan division can avail benefit of 0.10 Hector  to 10.00 Hector  and rest Of Maharashtra 0.20 Hector  to 6.00 Hector",Direct Benefit Transfer,Farmer,General,Horticulture,Plantation,,"Direct Benefit Transfer, Farmer, General, Horticulture, Plantation","Bhausaheb Fundkar Falbag Lagvad Scheme Maharashtra This scheme includes, Plantation of sixteen perennial horticulture crops. Farmer from Konkan division can avail benefit of 0.10 Hector  to 10.00 Hector  and rest Of Maharashtra 0.20 Hector  to 6.00 Hector Direct Benefit Transfer, Farmer, General, Horticulture, Plantation",https://www.myscheme.gov.in/schemes/bhausaheb-fundkar-horticulture-plantataion-scheme
Bhavantar Bharpai Yojana,Haryana,"The scheme is implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market.",Agriculture,Farmer,Fruits,Horticulture,Incentive,Vegetable Grower,"Agriculture, Farmer, Fruits, Horticulture, Incentive, Vegetable Grower","Bhavantar Bharpai Yojana Haryana The scheme is implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market. Agriculture, Farmer, Fruits, Horticulture, Incentive, Vegetable Grower",https://www.myscheme.gov.in/schemes/bvby
Bhraman - Darshan Yojana,Bihar,"The ""Bhraman-Darshan Yojana"" was launched by the Animal and Fisheries Resources Department, Government of Bihar aims to educate fish farmers in Bihar about the latest fisheries techniques through organized excursions, enabling them to adopt and implement these technologies in their water source.....",Fish Farmer,Opportunities,Technologies,,,,"Fish Farmer, Opportunities, Technologies","Bhraman - Darshan Yojana Bihar The ""Bhraman-Darshan Yojana"" was launched by the Animal and Fisheries Resources Department, Government of Bihar aims to educate fish farmers in Bihar about the latest fisheries techniques through organized excursions, enabling them to adopt and implement these technologies in their water source..... Fish Farmer, Opportunities, Technologies",https://www.myscheme.gov.in/schemes/bdy
Bihar Rajya Fasal Sahayata Yojna,Bihar,The scheme strives to back the farmers with financial incentives in the event of a crop loss due to natural calamities.,Crop Assistance,Farmer Welfare,Financial Assistance,Natural Disaster,,,"Crop Assistance, Farmer Welfare, Financial Assistance, Natural Disaster","Bihar Rajya Fasal Sahayata Yojna Bihar The scheme strives to back the farmers with financial incentives in the event of a crop loss due to natural calamities. Crop Assistance, Farmer Welfare, Financial Assistance, Natural Disaster",https://www.myscheme.gov.in/schemes/brfsy
Bio Control Laboratory and Pesticides Testing Laboratory Scheme,Meghalaya,"The objective is the production of Bio Control Agents such as Trichoderma, Trichogramma, etc., and further distribution to farmers as awareness and demonstration for organic Plant Health Management in order to promote organic crop production.",Farmer,Laboratory,Pesticides,Testing,Trichoderma,Trichogramma,"Farmer, Laboratory, Pesticides, Testing, Trichoderma, Trichogramma","Bio Control Laboratory and Pesticides Testing Laboratory Scheme Meghalaya The objective is the production of Bio Control Agents such as Trichoderma, Trichogramma, etc., and further distribution to farmers as awareness and demonstration for organic Plant Health Management in order to promote organic crop production. Farmer, Laboratory, Pesticides, Testing, Trichoderma, Trichogramma",https://www.myscheme.gov.in/schemes/bclptls
Birsa Harit Gram Yojana,Jharkhand,"The ""Birsa Harit Gram Yojana"" by the Rural Development Department, Government of Jharkhand, promotes afforestation while generating sustainable livelihoods. It supports SC, ST, and landless families through plantation activities under MGNREGA, ensuring income and environmental sustainability.",Financial Assistance,Livelihood,Opportunities,Promote Afforestation,,,"Financial Assistance, Livelihood, Opportunities, Promote Afforestation","Birsa Harit Gram Yojana Jharkhand The ""Birsa Harit Gram Yojana"" by the Rural Development Department, Government of Jharkhand, promotes afforestation while generating sustainable livelihoods. It supports SC, ST, and landless families through plantation activities under MGNREGA, ensuring income and environmental sustainability. Financial Assistance, Livelihood, Opportunities, Promote Afforestation",https://www.myscheme.gov.in/schemes/bhgy
Breed Multiplication Farm Entrepreneurship,Mizoram,At present entrepreneurs/farmers interested in taking up dairy programmes are facing difficulties in sourcing disease-free high-yielding heifers or cows and farmers are dependent on either middlemen or other farmers maintaining dairy animals for sourcing their requirement of dairy animals.,Breed Multiplication Farms,Cattle And Buffalo Breeding,Farmers Scientist Interaction,Forconstruction Of Cattle,Heifers Of Cattle And Buffaloes,,"Breed Multiplication Farms, Cattle And Buffalo Breeding, Farmers Scientist Interaction, Forconstruction Of Cattle, Heifers Of Cattle And Buffaloes","Breed Multiplication Farm Entrepreneurship Mizoram At present entrepreneurs/farmers interested in taking up dairy programmes are facing difficulties in sourcing disease-free high-yielding heifers or cows and farmers are dependent on either middlemen or other farmers maintaining dairy animals for sourcing their requirement of dairy animals. Breed Multiplication Farms, Cattle And Buffalo Breeding, Farmers Scientist Interaction, Forconstruction Of Cattle, Heifers Of Cattle And Buffaloes",https://www.myscheme.gov.in/schemes/bmfe
Buffalo Entrepreneurship Development Scheme,Odisha,"The ""Buffalo Entrepreneurship Development Scheme"" aims to enhance livestock productivity, especially among marginalized farmers in Odisha. This scheme seeks to address protein deficiency, boost nutritional status, & promote livelihood through dairy farming.",Farmers,Milk Production,Opportunity,Subsidy,,,"Farmers, Milk Production, Opportunity, Subsidy","Buffalo Entrepreneurship Development Scheme Odisha The ""Buffalo Entrepreneurship Development Scheme"" aims to enhance livestock productivity, especially among marginalized farmers in Odisha. This scheme seeks to address protein deficiency, boost nutritional status, & promote livelihood through dairy farming. Farmers, Milk Production, Opportunity, Subsidy",https://www.myscheme.gov.in/schemes/beds
COP-34 Financial Assistance to Farmer for Interest Subvention (Kishan Credit Card Interest Asst.),Gujarat,"Under this scheme, financial assistance in the form of interest subvention is provided to farmers who repay their crop loans on time, helping them improve their agricultural productivity and economic well-being.",Agriculture,Farmer,Interest Subvention,,,,"Agriculture, Farmer, Interest Subvention","COP-34 Financial Assistance to Farmer for Interest Subvention (Kishan Credit Card Interest Asst.) Gujarat Under this scheme, financial assistance in the form of interest subvention is provided to farmers who repay their crop loans on time, helping them improve their agricultural productivity and economic well-being. Agriculture, Farmer, Interest Subvention",https://www.myscheme.gov.in/schemes/fafiskc
COP-37 (General Area) 50% Capital Subsidy Scheme for Project of Taluka & District Co-op. Purchase Sale Union,Gujarat,"The scheme aims to financially strengthen cooperative purchase and sale unions through 50% capital subsidy for project development such as procurement, processing, marketing, and storage activities.",Agriculture Subsidy,Cooperative Union,Sale Union,,,,"Agriculture Subsidy, Cooperative Union, Sale Union","COP-37 (General Area) 50% Capital Subsidy Scheme for Project of Taluka & District Co-op. Purchase Sale Union Gujarat The scheme aims to financially strengthen cooperative purchase and sale unions through 50% capital subsidy for project development such as procurement, processing, marketing, and storage activities. Agriculture Subsidy, Cooperative Union, Sale Union",https://www.myscheme.gov.in/schemes/cssptdcp
COP-5 Financial Assistance to Agricultural Credit Co-operative Banks (PACS/LAMPS) for Reconstruction and Reestablishment (General/Tribal Area),Gujarat,The scheme provides financial assistance to Primary Agricultural Credit Societies (PACS) and Large-sized Agricultural Multi-Purpose Societies (LAMPS) in General and Tribal areas to strengthen their economic viability and ensure their continued contribution to the cooperative credit structure.,Agriculture,Co Operative Banks,Reconstruction,,,,"Agriculture, Co Operative Banks, Reconstruction","COP-5 Financial Assistance to Agricultural Credit Co-operative Banks (PACS/LAMPS) for Reconstruction and Reestablishment (General/Tribal Area) Gujarat The scheme provides financial assistance to Primary Agricultural Credit Societies (PACS) and Large-sized Agricultural Multi-Purpose Societies (LAMPS) in General and Tribal areas to strengthen their economic viability and ensure their continued contribution to the cooperative credit structure. Agriculture, Co Operative Banks, Reconstruction",https://www.myscheme.gov.in/schemes/cfaacobrr
Capital Subsidy Scheme for Setting Up Solar Plant in Milk Cooperatives in Gujarat State (Tribal Area),Gujarat,"The scheme aims to promote renewable energy and reduce electricity expenses. Through this scheme, a 75% subsidy is provided for setting up solar plants (1KW to 40KW) in milk cooperative societies in tribal areas.",Agriculture,Electricity Saving,Milk Cooperatives,Renewable Energy,Solar Subsidy,,"Agriculture, Electricity Saving, Milk Cooperatives, Renewable Energy, Solar Subsidy","Capital Subsidy Scheme for Setting Up Solar Plant in Milk Cooperatives in Gujarat State (Tribal Area) Gujarat The scheme aims to promote renewable energy and reduce electricity expenses. Through this scheme, a 75% subsidy is provided for setting up solar plants (1KW to 40KW) in milk cooperative societies in tribal areas. Agriculture, Electricity Saving, Milk Cooperatives, Renewable Energy, Solar Subsidy",https://www.myscheme.gov.in/schemes/csssspg
Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category),Gujarat,"The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals.",Animal Husbandry,Cattle Shed,Farmer,Financial Assistance,Scheduled Caste,Subsidy,"Animal Husbandry, Cattle Shed, Farmer, Financial Assistance, Scheduled Caste, Subsidy","Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category) Gujarat The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals. Animal Husbandry, Cattle Shed, Farmer, Financial Assistance, Scheduled Caste, Subsidy",https://www.myscheme.gov.in/schemes/csssscspscc
Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,Ministry Of Home Affairs,"A relief and rehabilitation scheme by the Ministry of Home Affairs provides central assistance to the displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir. The amount of Central Assistance of Rs. 5,49,692/- per family will be distributed through Direct Benefit Transfer.",Business,Displaced,Family,Farming,Jammu,Kashmir,"Business, Displaced, Family, Farming, Jammu, Kashmir","Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package Ministry Of Home Affairs A relief and rehabilitation scheme by the Ministry of Home Affairs provides central assistance to the displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir. The amount of Central Assistance of Rs. 5,49,692/- per family will be distributed through Direct Benefit Transfer. Business, Displaced, Family, Farming, Jammu, Kashmir",https://www.myscheme.gov.in/schemes/otsdfpc
Chai Vikas Yojana,Bihar,"The scheme aims to offer subsidies for planting materials, horticultural machinery, and related resources to support tea farmers.",Agriculture,Financial Assistance,Seed Supply,Subsidy,Tea Development,,"Agriculture, Financial Assistance, Seed Supply, Subsidy, Tea Development","Chai Vikas Yojana Bihar The scheme aims to offer subsidies for planting materials, horticultural machinery, and related resources to support tea farmers. Agriculture, Financial Assistance, Seed Supply, Subsidy, Tea Development",https://www.myscheme.gov.in/schemes/cvyb
Chhatraon Ke Liye Protsahan Rashi,Rajasthan,"In the ""Chhatraon Ke Liye Protsahan Rashi"" scheme to encourages girl students to study agriculture subject and provides financial assistance to economically disadvantaged students who may face challenges in accessing education due to financial constraints.",Child Development,Education,Financial,Girl,,,"Child Development, Education, Financial, Girl","Chhatraon Ke Liye Protsahan Rashi Rajasthan In the ""Chhatraon Ke Liye Protsahan Rashi"" scheme to encourages girl students to study agriculture subject and provides financial assistance to economically disadvantaged students who may face challenges in accessing education due to financial constraints. Child Development, Education, Financial, Girl",https://www.myscheme.gov.in/schemes/cklpr
Chief Minister Agriculture and Food Processing Scheme,Maharashtra,"to encourage model technology based projects and quality enhancement of agriculture produce, to encourage exports, to create skill manpower for agro and food processing and employment generation through small and medium agro and food processing units in rural areas.",,,,,,,,"Chief Minister Agriculture and Food Processing Scheme Maharashtra to encourage model technology based projects and quality enhancement of agriculture produce, to encourage exports, to create skill manpower for agro and food processing and employment generation through small and medium agro and food processing units in rural areas. ",https://www.myscheme.gov.in/schemes/chief-minister-agriculture-and-food-processing-scheme
Chief Minister Drought Relief Scheme,Jharkhand,"The Chief Minister Drought Relief Scheme aims to provide relief and financial assistance to families affected by drought in designated areas. The scheme ensures financial security, livelihood support, and basic resources for drought-hit communities.",Drought,Farmer,Financial Assistance,,,,"Drought, Farmer, Financial Assistance","Chief Minister Drought Relief Scheme Jharkhand The Chief Minister Drought Relief Scheme aims to provide relief and financial assistance to families affected by drought in designated areas. The scheme ensures financial security, livelihood support, and basic resources for drought-hit communities. Drought, Farmer, Financial Assistance",https://www.myscheme.gov.in/schemes/cmdrs
Chief Minister Floriculture Mission,Assam,"This is a special scheme initiated during 2014-15 aimed at all-round development of floriculture sector in the State which incorporates cultivation, marketing, training etc. For the year 2015- 16 cultivation of Gerbera under Shade net house with tissue cultured planting materials is proposed.",Cultivation,Farmer,Marketing,Trainning,,,"Cultivation, Farmer, Marketing, Trainning","Chief Minister Floriculture Mission Assam This is a special scheme initiated during 2014-15 aimed at all-round development of floriculture sector in the State which incorporates cultivation, marketing, training etc. For the year 2015- 16 cultivation of Gerbera under Shade net house with tissue cultured planting materials is proposed. Cultivation, Farmer, Marketing, Trainning",https://www.myscheme.gov.in/schemes/cmfm
Chief Minister Samagra Gramya Unnayan Yojana,Assam,"A 5-year mega-mission called Chief Minister Samagra Gramya Unnayan Yojana (CMSGUY) was launched in the Financial Year(FY) 2016-17, which is scheduled to culminate in the FY 2021-22, coinciding with 75 years of India's Independence.",Chief Minister,Financial Assistance,Gramya,Samagra,Unnayan,,"Chief Minister, Financial Assistance, Gramya, Samagra, Unnayan","Chief Minister Samagra Gramya Unnayan Yojana Assam A 5-year mega-mission called Chief Minister Samagra Gramya Unnayan Yojana (CMSGUY) was launched in the Financial Year(FY) 2016-17, which is scheduled to culminate in the FY 2021-22, coinciding with 75 years of India's Independence. Chief Minister, Financial Assistance, Gramya, Samagra, Unnayan",https://www.myscheme.gov.in/schemes/cmsguy
Chief Minister Small and Marginal Farmers Older Pension Scheme,Rajasthan,"The ""Chief Minister Small and Marginal Farmers Older Pension Scheme"" by the Department of Social Justice and Empowerment, Government of Rajasthan, aims to provide financial assistance to elderly small and marginal farmers.",Farmers,Old Age,Pension,,,,"Farmers, Old Age, Pension","Chief Minister Small and Marginal Farmers Older Pension Scheme Rajasthan The ""Chief Minister Small and Marginal Farmers Older Pension Scheme"" by the Department of Social Justice and Empowerment, Government of Rajasthan, aims to provide financial assistance to elderly small and marginal farmers. Farmers, Old Age, Pension",https://www.myscheme.gov.in/schemes/cmsmfops
Chief Minister Sustainable Agriculture Irrigation Scheme - Magel Tyala Shettale (Individual Farm Pond),Maharashtra,Under this scheme subsidy payable to individual farmer is minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farm pond.,Chatrapati Shivaji Maharaj Krishi Yojana,Individual Farm Pond,Magel Tyala Shettale,MahaDBT,,,"Chatrapati Shivaji Maharaj Krishi Yojana, Individual Farm Pond, Magel Tyala Shettale, MahaDBT","Chief Minister Sustainable Agriculture Irrigation Scheme - Magel Tyala Shettale (Individual Farm Pond) Maharashtra Under this scheme subsidy payable to individual farmer is minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farm pond. Chatrapati Shivaji Maharaj Krishi Yojana, Individual Farm Pond, Magel Tyala Shettale, MahaDBT",https://www.myscheme.gov.in/schemes/chief-minister-sustainable-agriculture-irrigation-scheme
Chief Minister's Krishi Rinn Yojana,Arunachal Pradesh,The Government of Arunachal Pradesh has introduced The Chief Minister's Krishi Rinn Yojana (CMKRY) with the aim of providing a zero interest crop loan facility to farmers of the state to enable them easy access to formal credit through banking channels.,Crop Loan,Farmers,Zero Interest,,,,"Crop Loan, Farmers, Zero Interest","Chief Minister's Krishi Rinn Yojana Arunachal Pradesh The Government of Arunachal Pradesh has introduced The Chief Minister's Krishi Rinn Yojana (CMKRY) with the aim of providing a zero interest crop loan facility to farmers of the state to enable them easy access to formal credit through banking channels. Crop Loan, Farmers, Zero Interest",https://www.myscheme.gov.in/schemes/cmkry
Chief Minister’s Agriculture Mechanisation Programme,Arunachal Pradesh,The scheme “Chief Minister’s Agriculture Mechanisation Programme” was started by the government of Arunachal Pradesh to promote mechanization & hiring services for various agriculture Machinery/ Implements of post-harvest technology (PHY) equipment applied for different operations.,Agriculture,Farmer,Financial Assistance,Mechanisation,Subsidy,,"Agriculture, Farmer, Financial Assistance, Mechanisation, Subsidy","Chief Minister’s Agriculture Mechanisation Programme Arunachal Pradesh The scheme “Chief Minister’s Agriculture Mechanisation Programme” was started by the government of Arunachal Pradesh to promote mechanization & hiring services for various agriculture Machinery/ Implements of post-harvest technology (PHY) equipment applied for different operations. Agriculture, Farmer, Financial Assistance, Mechanisation, Subsidy",https://www.myscheme.gov.in/schemes/cmamp
